id.group,id.trapped.pig,trapped.order,location.test.box,helper,outcome,lat.helped.min
DG5_W,DG5_W_10,7,Side,Pig,Full_trial,0.16
DG2_W,DG2_W_2,5,Front,Pig,Full_trial,0.21
DG5_W,DG5_W_8,2,Side,Pig,Full_trial,0.28
DG2_W,DG2_W_9,3,Side,Pig,Full_trial,0.29
DG2_W,DG2_W_3,7,Side,Pig,Full_trial,0.31
DG5_W,DG5_W_1,9,Front,Pig,Full_trial,0.36
DG2_W,DG2_W_8,6,Side,Pig,Full_trial,0.48
DG3_F,DG3_F_1,9,Front,Pig,Full_trial,0.49
DG3_W,DG3_W_3,9,Side,Pig,Full_trial,0.57
DG5_F,DG5_F_7,9,Front,Pig,Full_trial,0.63
DG5_W,DG5_W_6,3,Side,Pig,Full_trial,0.72
DG4_W,DG4_W_7,7,Front,Pig,Full_trial,0.85
DG3_W,DG3_W_5,6,Side,Pig,Full_trial,0.94
DG2_W,DG2_W_4,2,Front,Pig,Full_trial,0.95
DG3_F,DG3_F_4,8,Front,Pig,Full_trial,0.99
DG2_F,DG2_F_5,7,Side,Pig,Full_trial,1.22
DG5_W,DG5_W_4,4,Front,Pig,Full_trial,1.29
DG2_W,DG2_W_5,4,Front,Pig,Full_trial,1.36
DG3_F,DG3_F_7,5,Front,Pig,Full_trial,1.38
DG3_W,DG3_W_9,5,Front,Pig,Full_trial,1.53
DG3_F,DG3_F_3,10,Side,Pig,Full_trial,1.59
DG2_F,DG2_F_8,8,Front,Pig,Full_trial,1.6
DG4_F,DG4_F_7,5,Side,Pig,Full_trial,1.64
DG5_W,DG5_W_7,5,Front,Pig,Full_trial,1.71
DG5_F,DG5_F_3,3,Front,Pig,Full_trial,1.74
DG5_W,DG5_W_5,10,Side,Pig,Full_trial,1.78
DG4_F,DG4_F_3,1,Side,Pig,Full_trial,1.85
DG3_W,DG3_W_10,7,Side,Pig,Full_trial,1.88
DG4_W,DG4_W_9,4,Side,Pig,Full_trial,1.98
DG3_W,DG3_W_7,2,Side,Pig,Full_trial,2.04
DG4_W,DG4_W_2,8,Side,Pig,Full_trial,2.12
DG4_W,DG4_W_10,1,Side,Pig,Full_trial,2.15
DG4_F,DG4_F_2,10,Front,Pig,Full_trial,2.26
DG4_F,DG4_F_1,8,Side,Pig,Full_trial,2.32
DG3_W,DG3_W_8,8,Front,Pig,Full_trial,2.4
DG5_F,DG5_F_5,8,Front,Pig,Full_trial,2.4
DG4_W,DG4_W_3,9,Side,Pig,Full_trial,2.44
DG5_F,DG5_F_2,6,Side,Pig,Full_trial,2.77
DG5_W,DG5_W_9,8,Front,Pig,Full_trial,2.77
DG3_W,DG3_W_2,1,Front,Pig,Full_trial,2.82
DG4_W,DG4_W_6,2,Front,Pig,Full_trial,2.85
DG3_W,DG3_W_6,10,Front,Pig,Full_trial,3.04
DG4_F,DG4_F_10,9,Side,Pig,Full_trial,3.1
DG3_F,DG3_F_6,3,Side,Human,Aborted_trial,3.3
DG2_F,DG2_F_4,6,Side,Pig,Full_trial,3.69
DG3_W,DG3_W_4,3,Side,Pig,Full_trial,3.74
DG2_F,DG2_F_9,5,Front,Pig,Full_trial,3.87
DG4_W,DG4_W_4,5,Side,Pig,Full_trial,3.98
DG5_F,DG5_F_8,1,Side,Pig,Full_trial,4.61
DG4_F,DG4_F_5,7,Front,Pig,Full_trial,4.81
DG5_F,DG5_F_4,4,Side,Pig,Full_trial,4.88
DG3_F,DG3_F_8,7,Side,Pig,Full_trial,5.03
DG2_W,DG2_W_1,1,Side,Pig,Full_trial,5.18
DG5_W,DG5_W_2,6,Side,Pig,Full_trial,5.18
DG4_F,DG4_F_4,3,Front,Pig,Full_trial,6.22
DG5_F,DG5_F_9,7,Side,Pig,Full_trial,6.42
DG5_F,DG5_F_10,2,Front,Pig,Full_trial,6.76
DG4_W,DG4_W_1,6,Front,Pig,Full_trial,7.59
DG3_F,DG3_F_9,1,Front,Pig,Full_trial,10.25
DG5_W,DG5_W_3,1,Front,Pig,Full_trial,11.27
DG4_W,DG4_W_5,3,Front,Pig,Full_trial,11.45
DG2_F,DG2_F_2,3,Front,Pig,Full_trial,11.55
DG3_F,DG3_F_5,4,Front,Pig,Full_trial,13.53
DG4_F,DG4_F_6,4,Side,Pig,Full_trial,14.77
DG4_W,DG4_W_8,10,Front,Pig,Full_trial,16.97
DG2_F,DG2_F_3,1,Side,Human,Full_trial,20
DG2_F,DG2_F_6,2,Front,Human,Full_trial,20
DG2_F,DG2_F_7,4,Side,Human,Full_trial,20
DG3_F,DG3_F_10,2,Side,Human,Full_trial,20
DG3_F,DG3_F_2,6,Side,Human,Full_trial,20
DG3_W,DG3_W_1,4,Front,Human,Full_trial,20
DG4_F,DG4_F_8,6,Front,Human,Full_trial,20
DG4_F,DG4_F_9,2,Front,Human,Full_trial,20
DG5_F,DG5_F_1,5,Front,Human,Full_trial,20
DG5_F,DG5_F_6,10,Side,Human,Full_trial,20
