Observations,unique.group,context,group.daily.test.order,familiarization_day,location.box,unique.pig.id,latency.open.sec,latency.open.min
DG2_F_TrainingD1_Cam3_beginat11,DG2_F,Familiarization,2nd,1,Front,DG2_F_3,401.56,6.692666666666667
DG2_F_TrainingD1_Cam4_beginat11,DG2_F,Familiarization,2nd,1,Side,DG2_F_7,21.01,0.3501666666666667
DG2_F_TrainingD2_Cam3,DG2_F,Familiarization,1st,2,Front,DG2_F_4,54.68,0.9113333333333333
DG2_F_TrainingD2_Cam4,DG2_F,Familiarization,1st,2,Side,DG2_F_2,68.04,1.1340000000000001
DG2_F_TrainingD3_Cam3,DG2_F,Familiarization,2nd,3,Front,DG2_F_2,90.12,1.502
DG2_F_TrainingD3_Cam3,DG2_F,Familiarization,2nd,3,Side,DG2_F_4,14.12,0.2353333333333333
DG2_F_TrainingD4_Cam3,DG2_F,Familiarization,1st,4,Front,DG2_F_5,17,0.2833333333333333
DG2_F_TrainingD4_Cam3,DG2_F,Familiarization,1st,4,Side,DG2_F_2,365.91,6.0985000000000005
DG2_F_TrainingD5_Cam3,DG2_F,Familiarization,2nd,5,Front,DG2_F_4,95.28,1.588
DG2_F_TrainingD5_Cam3,DG2_F,Familiarization,2nd,5,Side,DG2_F_2,70.52,1.1753333333333333
DG2_W_TrainingD1_Cam4,DG2_W,Familiarization,1st,1,Front,DG2_W_5,84.677,1.4112833333333334
DG2_W_TrainingD1_Cam3,DG2_W,Familiarization,1st,1,Side,DG2_W_4,435.48,7.258
DG2_W_TrainingD2_Cam4,DG2_W,Familiarization,2nd,2,Front,DG2_W_5,0.56,0.009333333333333334
DG2_W_TrainingD2_Cam3,DG2_W,Familiarization,2nd,2,Side,DG2_W_2,47.64,0.794
DG2_W_TrainingD3_Cam3,DG2_W,Familiarization,1st,3,Side,DG2_W_1,3.4,0.056666666666666664
DG2_W_TrainingD3_Cam3,DG2_W,Familiarization,1st,3,Front,DG2_W_8,115.34,1.9223333333333334
DG2_W_TrainingD4_Cam3,DG2_W,Familiarization,2nd,4,Side,DG2_W_2,1.56,0.026000000000000002
DG2_W_TrainingD4_Cam3,DG2_W,Familiarization,2nd,4,Front,DG2_W_8,0.92,0.015333333333333334
DG2_W_TrainingD5_Cam3,DG2_W,Familiarization,1st,5,Side,DG2_W_9,44.64,0.744
DG2_W_TrainingD5_Cam3,DG2_W,Familiarization,1st,5,Front,DG2_W_4,62.38,1.0396666666666667
DG3_F_TrainingD1_Cam3,DG3_F,Familiarization,2nd,1,Front,DG3_F_3,77.84,1.2973333333333334
DG3_F_TrainingD1_Cam4,DG3_F,Familiarization,2nd,1,Side,DG3_F_2,62.92,1.0486666666666666
DG3_F_TrainingD2_Cam3,DG3_F,Familiarization,1st,2,Front,DG3_F_5,44.28,0.738
DG3_F_TrainingD2_Cam4,DG3_F,Familiarization,1st,2,Side,DG3_F_10,87.2,1.4533333333333334
DG3_F_TrainingD3_Cam3,DG3_F,Familiarization,2nd,3,Front,DG3_F_5,208.96,3.482666666666667
DG3_F_TrainingD3_Cam4,DG3_F,Familiarization,2nd,3,Side,DG3_F_5,28.76,0.47933333333333333
DG3_F_TrainingD4_Cam3,DG3_F,Familiarization,1st,4,Front,DG3_F_4,30.24,0.504
DG3_F_TrainingD4_Cam4,DG3_F,Familiarization,1st,4,Side,DG3_F_5,17.04,0.284
DG3_F_TrainingD5_Cam3,DG3_F,Familiarization,2nd,5,Front,DG3_F_3,1.88,0.03133333333333333
DG3_F_TrainingD5_Cam4,DG3_F,Familiarization,2nd,5,Side,DG3_F_2,6.92,0.11533333333333333
DG3_W_TrainingD1_Cam3,DG3_W,Familiarization,1st,1,Front,DG3_W_7,95.2,1.5866666666666667
DG3_W_TrainingD1_Cam4,DG3_W,Familiarization,1st,1,Side,DG3_W_3,45.44,0.7573333333333333
DG3_W_TrainingD2_Cam4,DG3_W,Familiarization,2nd,2,Front,DG3_W_10,39.08,0.6513333333333333
DG3_W_TrainingD2_Cam3,DG3_W,Familiarization,2nd,2,Side,DG3_W_7,42.36,0.706
DG3_W_TrainingD3_Cam4,DG3_W,Familiarization,1st,3,Front,DG3_W_1,126.12,2.102
DG3_W_TrainingD3_Cam3,DG3_W,Familiarization,1st,3,Side,DG3_W_9,0.8,0.013333333333333334
DG3_W_TrainingD4_Cam4,DG3_W,Familiarization,2nd,4,Front,DG3_W_9,142.36,2.372666666666667
DG3_W_TrainingD4_Cam3,DG3_W,Familiarization,2nd,4,Side,DG3_W_7,0.9,0.015000000000000001
DG3_W_TrainingD5_Cam4,DG3_W,Familiarization,1st,5,Front,DG3_W_6,71.56,1.1926666666666668
DG3_W_TrainingD5_Cam3,DG3_W,Familiarization,1st,5,Side,DG3_W_5,4.72,0.07866666666666666
DG4_F_TrainingD1_Cam4,DG4_F,Familiarization,1st,1,Front,DG4_F_2,181.32,3.022
DG4_F_TrainingD1_Cam3,DG4_F,Familiarization,1st,1,Side,DG4_F_2,28.56,0.476
DG4_F_Training_D2_Cam4,DG4_F,Familiarization,2nd,2,Front,DG4_F_8,13.76,0.22933333333333333
DG4_F_Training_D2_Cam3,DG4_F,Familiarization,2nd,2,Side,DG4_F_7,48.84,0.8140000000000001
DG4_F_Training_D3_Cam4,DG4_F,Familiarization,1st,3,Front,DG4_F_9,2.12,0.035333333333333335
DG4_F_Training_D3_Cam3,DG4_F,Familiarization,1st,3,Side,DG4_F_1,8.16,0.136
DG4_F_Training_D4_Cam4,DG4_F,Familiarization,2nd,4,Front,DG4_F_1,49.12,0.8186666666666667
DG4_F_Training_D4_Cam3,DG4_F,Familiarization,2nd,4,Side,DG4_F_5,19.25,0.32083333333333336
DG4_F_Training_D5_Cam4,DG4_F,Familiarization,1st,5,Front,DG4_F_7,53.08,0.8846666666666666
DG4_F_Training_D5_Cam3,DG4_F,Familiarization,1st,5,Side,DG4_F_6,48.42,0.807
DG4_W_TrainingD1_Cam4,DG4_W,Familiarization,2nd,1,Front,DG4_W_1,30.32,0.5053333333333333
DG4_W_TrainingD1_Cam3,DG4_W,Familiarization,2nd,1,Side,DG4_W_6,28.88,0.48133333333333334
DG4_W_TrainingD2_Cam4,DG4_W,Familiarization,1st,2,Front,DG4_W_5,2.32,0.03866666666666666
DG4_W_TrainingD2_Cam3,DG4_W,Familiarization,1st,2,Side,DG4_W_9,10.56,0.17600000000000002
DG4_W_TrainingD3_Cam4,DG4_W,Familiarization,2nd,3,Front,DG4_W_2,71.8,1.1966666666666665
DG4_W_TrainingD3_Cam3,DG4_W,Familiarization,2nd,3,Side,DG4_W_9,2,0.03333333333333333
DG4_W_TrainingD4_Cam4,DG4_W,Familiarization,1st,4,Front,DG4_W_9,80.76,1.346
DG4_W_TrainingD4_Cam3,DG4_W,Familiarization,1st,4,Side,DG4_W_2,6.42,0.107
DG4_W_TrainingD5_Cam4,DG4_W,Familiarization,2nd,5,Front,DG4_W_9,39.24,0.654
DG4_W_TrainingD5_Cam3,DG4_W,Familiarization,2nd,5,Side,DG4_W_9,28.04,0.4673333333333333
DG5_F_Training_D1_Cam4,DG5_F,Familiarization,1st,1,Front,DG5_F_4,24.74,0.41233333333333333
DG5_F_Training_D1_Cam3,DG5_F,Familiarization,1st,1,Side,DG5_F_1,38.2,0.6366666666666667
DG5_F_Training_D2_Cam4,DG5_F,Familiarization,2nd,2,Front,DG5_F_1,69.24,1.154
DG5_F_Training_D2_Cam3,DG5_F,Familiarization,2nd,2,Side,DG5_F_7,39.404,0.6567333333333334
DG5_F_Training_D3_Cam4,DG5_F,Familiarization,1st,3,Front,DG5_F_10,17.24,0.28733333333333333
DG5_F_Training_D3_Cam3,DG5_F,Familiarization,1st,3,Side,DG5_F_7,16.46,0.2743333333333334
DG5_F_Training_D4_Cam4,DG5_F,Familiarization,2nd,4,Front,DG5_F_6,14.69,0.24483333333333332
DG5_F_Training_D4_Cam3,DG5_F,Familiarization,2nd,4,Side,DG5_F_8,2.71,0.04516666666666667
DG5_F_Training_D5_Cam4,DG5_F,Familiarization,1st,5,Front,DG5_F_2,1.14,0.019
DG5_F_Training_D5_Cam3,DG5_F,Familiarization,1st,5,Side,DG5_F_1,8.08,0.13466666666666666
DG5_W_Training_D1_Cam2_ZG,DG5_W,Familiarization,2nd,1,Front,DG5_W_1,38,0.6333333333333333
DG5_W_Training_D1_Cam2_ZG,DG5_W,Familiarization,2nd,1,Side,DG5_W_9,93.64,1.5606666666666666
DG5_W_Training_D2_Cam4,DG5_W,Familiarization,1st,2,Front,DG5_W_9,42.96,0.716
DG5_W_Training_D2_Cam3,DG5_W,Familiarization,1st,2,Side,DG5_W_1,31.64,0.5273333333333333
DG5_W_Training_D3_Cam4,DG5_W,Familiarization,2nd,3,Front,DG5_W_7,9.28,0.15466666666666665
DG5_W_Training_D3_Cam3,DG5_W,Familiarization,2nd,3,Side,DG5_W_2,1.46,0.024333333333333332
DG5_W_Training_D4_Cam4,DG5_W,Familiarization,1st,4,Front,DG5_W_9,29.4,0.49
DG5_W_Training_D4_Cam3,DG5_W,Familiarization,1st,4,Side,DG5_W_1,65.4,1.09
DG5_W_Training_D5_Cam4,DG5_W,Familiarization,2nd,5,Front,DG5_W_3,17.972,0.2995333333333334
DG5_W_Training_D5_Cam3,DG5_W,Familiarization,2nd,5,Side,DG5_W_6,24.76,0.4126666666666667
